"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"302","RT @fash_ngobese: FREE AT LAST!<ed><U+00A0><U+00BD><ed><U+00B8><U+0082> This is fire<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5> Press Play! Well done for standing up for yourselves!<U+2764><U+FE0F><ed><U+00A0><U+00BC><ed><U+00B7><U+00BF><ed><U+00A0><U+00BC><ed><U+00B7><U+00BC>
(Retweet)
#FreeZimbabwe
#Mugabe
#…",FALSE,0,NA,2017-12-01 08:34:13,FALSE,NA,"936513756917530624",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sbonkuks",1245,TRUE,FALSE,NA,NA
"303","RT @TheEdgeSearch: Not true ... This is an interview I did with @Julius_S_Malema in March. He was clear then that he admires Robert #Mugabe…",FALSE,0,NA,2017-12-01 08:32:55,FALSE,NA,"936513429531234304",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mendala23",19,TRUE,FALSE,NA,NA
"304","RT @khumbumaphosa: #Mugabe sees #ZimCabinet list by #EmersonMnangagwa &amp;goes:
""IT WASNT ME....""

#MyNewZimbabwe #NewCabinet #Asakhe #263Chat…",FALSE,0,NA,2017-12-01 08:32:11,FALSE,NA,"936513245346754560",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ilizwi263",4,TRUE,FALSE,NA,NA
"305","RT @ChillaFlamez: New Music Alert!!! 

Chilla Flamez - #Mugabe 
<ed><U+00A0><U+00BD><ed><U+00B4><U+00A5> <ed><U+00A0><U+00BD><ed><U+00B4><U+00A5> <ed><U+00A0><U+00BD><ed><U+00B4><U+00A5>
Please download it and enjoy 

https://t.co/n38Z5QWwb7

#MugabeHasFal…",FALSE,0,NA,2017-12-01 08:31:23,FALSE,NA,"936513041730023424",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","DuncanSpitter",2,TRUE,FALSE,NA,NA
"306","Mugabe 'happy' as former aide declared national hero - report #Zimbabwe #Mugabe #RobertMugabe #NationalHero #Hero… https://t.co/qjbCkAQX9s",FALSE,0,NA,2017-12-01 08:30:00,TRUE,NA,"936512692810022912",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ImperioMundial",0,FALSE,FALSE,NA,NA
"307","RT @cobbo3: Interesting seeing leading defenders of dictatorship under #Mugabe in #Zimbabwe have become democracy advocates now that they l…",FALSE,0,NA,2017-12-01 08:26:28,FALSE,NA,"936511802954866688",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DenoSnr",32,TRUE,FALSE,NA,NA
"308","RT @dewamavhinga: Breaking: #Mnangagwa includes Military generals who spearheaded the coup against #Mugabe in new cabinet - Air Marshall Pe…",FALSE,0,NA,2017-12-01 08:24:41,FALSE,NA,"936511357914157056",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","befeqe",121,TRUE,FALSE,NA,NA
"309","RT @dewamavhinga: Breaking: #Mnangagwa includes Military generals who spearheaded the coup against #Mugabe in new cabinet - Air Marshall Pe…",FALSE,0,NA,2017-12-01 08:22:11,FALSE,NA,"936510725891198976",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","FreedomHouseAfr",121,TRUE,FALSE,NA,NA
"310","RT @cobbo3: Interesting seeing leading defenders of dictatorship under #Mugabe in #Zimbabwe have become democracy advocates now that they l…",FALSE,0,NA,2017-12-01 08:20:46,FALSE,NA,"936510368737779713",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","shab302611",32,TRUE,FALSE,NA,NA
"311","RT @cobbo3: Interesting seeing leading defenders of dictatorship under #Mugabe in #Zimbabwe have become democracy advocates now that they l…",FALSE,0,NA,2017-12-01 08:20:08,FALSE,NA,"936510209211731968",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","warrens256",32,TRUE,FALSE,NA,NA
"312","RT @dewamavhinga: Breaking: #Mnangagwa includes Military generals who spearheaded the coup against #Mugabe in new cabinet - Air Marshall Pe…",FALSE,0,NA,2017-12-01 08:18:48,FALSE,NA,"936509876578258944",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Jabu02",121,TRUE,FALSE,NA,NA
